genre,LQS_mean,LQS_std,n
blues,0.057262894574754926,0.0692793036575807,86
jazz,0.04818706675654366,0.057946545375557816,70
pop,0.04526522327904348,0.04909587270413069,126
reggae,0.04510174578789509,0.0494500821757552,44
rock,0.037827582299417135,0.049725659762393785,68
country,0.02937781403138154,0.04592635123963789,92
hip hop,0.014105249018896192,0.02146586476619059,14
