artist_name,genre,track_name,coherence_prime,diversity,novelty,LQS
the clovers,pop,devil or angel,0.0,0.0,0.09039207299550374,0.022598018248875935
harry belafonte,pop,hosanna,0.0,0.0,0.29670798778533936,0.07417699694633484
jerry vale,pop,volare (nel blu dipinto di blu),0.0,0.0,0.0,0.0
the platters,pop,why should i,0.0,0.0,0.0,0.0
johnny mathis,pop,in other words (fly me to the moon),0.0,0.0,0.0,0.0
lavern baker,pop,i'll never be free,0.0,0.0,0.0,0.0
the platters,pop,remember when,0.0,0.0,0.06685231129328409,0.016713077823321022
the clovers,pop,love love love,0.0,0.0,0.06436530749003092,0.01609132687250773
johnny mathis,pop,it might as well be spring,0.0,0.0,0.0,0.0
the platters,pop,at your beck and call,0.0,0.0,0.0,0.0
the platters,pop,september in the rain,0.0,0.0,0.12455427646636963,0.031138569116592407
the platters,pop,i give you my word,0.0,0.0,0.0,0.0
jerry vale,pop,more,0.0,0.0,0.44324262936909997,0.11081065734227499
jerry vale,pop,summertime in venice,0.0,0.0,0.0,0.0
the clovers,pop,here goes a fool,0.0,0.0,0.0,0.0
t. m. soundararajan,pop,chinna kelbyaadve nanna ppuraana,0.0,0.0,0.10193083683649698,0.025482709209124245
frankie laine,pop,remember me (the girl in the wood),0.0,0.0,0.0,0.0
groovie ghoulies,pop,blood beach,0.0,0.0,0.044946014881134026,0.011236503720283507
ricky nelson,pop,am i blue?,0.0,0.0,0.0582671562830607,0.014566789070765175
harry belafonte,pop,don't ever love me,0.0,0.0,0.01003160079320271,0.0025079001983006775
harry belafonte,pop,angelique-o,0.0,0.0,0.23439391454060873,0.05859847863515218
ricky nelson,pop,true love,0.0,0.0,0.28227214018503827,0.07056803504625957
johnny mathis,pop,by myself,0.0,0.0,0.0,0.0
johnny mathis,pop,warm,0.0,0.0,0.014990806579589835,0.0037477016448974588
lata mangeshkar,pop,panchhi banoon udti phiroon,0.0,0.0,0.0,0.0
billy vaughn,pop,miss you,0.0,0.0,0.12069169680277506,0.030172924200693764
eddie cochran,pop,one kiss,0.0,0.0,0.11342390378316243,0.028355975945790608
johnny mathis,pop,i'm glad there is you,0.0,0.0,0.06493522723515828,0.01623380680878957
johnny mathis,pop,"baby, baby, baby",0.0,0.0,0.022865176200866692,0.005716294050216673
eddie cochran,pop,undying love,0.0,0.0,0.0,0.0
ricky nelson,pop,your true love,0.0,0.0,0.06838494539260864,0.01709623634815216
harry belafonte,pop,cu cu ru cu cu paloma,0.0,0.0,0.14320149024327597,0.03580037256081899
harry belafonte,pop,cordelia brown,0.0,0.0,0.0,0.0
andy williams,pop,dear heart,0.0,0.0,0.0,0.0
eddie cochran,pop,completely sweet,0.0,0.0,0.15149458249409994,0.037873645623524986
eddie cochran,pop,sittin' in the balcony,0.0,0.0,0.291926105817159,0.07298152645428975
andy williams,pop,a time for us,0.0,0.0,0.0,0.0
the chordettes,pop,soft sands,0.0,0.0,0.0,0.0
andy williams,pop,(where do i begin) love story,0.0,0.0,0.0,0.0
andy williams,pop,canadian sunset,0.0,0.0,0.0,0.0
jimmie rodgers,pop,kisses sweeter than wine,0.0,0.0,0.043882966041564934,0.010970741510391234
the chordettes,pop,eddie my love,0.0,0.0,0.0,0.0
the chordettes,pop,come home to my arms,0.0,0.0,0.0,0.0
the chordettes,pop,love never changes,0.0,0.0,0.0,0.0
mohammed rafi,pop,tumsa nahin dekha,0.0,0.0,0.0,0.0
lavern baker,pop,i can't love you enough,0.0,0.0,0.0,0.0
ghantasala,pop,choopula kalasina subhavela,0.0,0.0,0.0,0.0
eddie cochran,pop,i'm alone because i love you,0.0,0.0,0.0,0.0
johnny mathis,pop,i've grown accustomed to her face,0.0,0.0,0.0,0.0
andy williams,pop,speak softly love,0.0,0.0,0.0,0.0
the chordettes,pop,teen age goodnight,0.0,0.0,0.20795647303263345,0.051989118258158364
harry belafonte,pop,"love, love alone",0.0,0.0,0.0,0.0
the keynotes,pop,now i know,0.0,0.0,0.0,0.0
the keynotes,pop,tell me you love me,0.0,0.0,0.0,0.0
lavern baker,pop,still,0.0,0.0,0.0,0.0
the keynotes,pop,i don't know,0.0,0.0,0.0,0.0
pradeep kumar,pop,suno sunaoon tumhen ek kahani,0.0,0.0,0.0,0.0
norrie paramor,pop,i'll see you in my dreams,0.0,0.0,0.0,0.0
les paul,pop,"i surrender, dear",0.0,0.0,0.0,0.0
esquivel!,pop,titulos principio,0.0,0.0,0.07914835214614868,0.01978708803653717
the platters,pop,in the middle of nowhere,0.0,0.0,0.0,0.0
the platters,pop,you are too beautiful,0.0,0.0,0.04346583286921182,0.010866458217302956
lavern baker,pop,that's all i need,0.0,0.0,0.0,0.0
ghantasala,pop,aagaya veedhiyil,0.0,0.0,0.0,0.0
the platters,pop,don't blame me,0.0,0.0,0.044119199117024735,0.011029799779256184
perry como,pop,between the devil and the deep blue sea,0.0,0.0,0.0,0.0
perry como,pop,in the garden,0.0,0.0,0.0,0.0
perry como,pop,he's got the whole world in his hands,0.0,0.0,0.17024133602778116,0.04256033400694529
perry como,pop,birth of the blues,0.0,0.0,0.008821030457814526,0.0022052576144536316
johnny mathis,pop,where can i go?,0.0,0.0,0.0,0.0
張露,pop,夢斷巫山,0.0,0.0,0.0,0.0
張露,pop,你去了那裡,0.0,0.0,0.0,0.0
frankie laine,pop,mona lisa,0.0,0.0,0.0,0.0
a. m. rajah,pop,inbamae pongumae,0.0,0.0,0.0,0.0
t. m. soundararajan,pop,enna vendum,0.0,0.0,0.0,0.0
maria koterbska,pop,cowboy jackie,0.0,0.0,0.0,0.0
ricky nelson,pop,unchained melody,0.0,0.0,0.027694443861643464,0.006923610965410866
frankie laine,pop,"rose, rose, i love you",0.0,0.0,0.0,0.0
bobby darin,pop,talk to me something,0.0,0.0,0.042064030965169266,0.010516007741292317
ricky nelson,pop,there goes my baby,0.0,0.0,0.0,0.0
the everly brothers,pop,"oh, so many years",0.0,0.0,0.0,0.0
johnny mathis,pop,when i am with you,0.0,0.0,0.023531258106231683,0.005882814526557921
ricky nelson,pop,i'll walk alone,0.0,0.0,0.0,0.0
ricky nelson,pop,down the line,0.0,0.0,0.0,0.0
billy vaughn,pop,yours,0.0,0.0,0.008914311726888013,0.002228577931722003
jerry vale,pop,all dressed up with a broken heart,0.0,0.0,0.0,0.0
