genre,LQS_mean,LQS_std,n
jazz,0.012039186668230643,0.032603657174382634,3845
reggae,0.010288366257014962,0.02825057705211973,2498
blues,0.00897522249318122,0.02372968710956161,4604
pop,0.008201654869959028,0.02380724550564982,7042
rock,0.007571073110769296,0.02173211223244493,4034
country,0.004150849638234814,0.01553821682296433,5445
hip hop,0.004010594276859697,0.01797666028705495,904
