artist_name,genre,LQS_mean,n
jacques of s't'a,hip hop,0.05995955069859823,1
willie dixon,blues,0.059820400675137844,5
dee dee sharp,pop,0.059431528051694237,2
bobby hutcherson,jazz,0.05912866195042928,1
caravan palace,jazz,0.05912305414676666,15
eliane elias,jazz,0.05886879811684291,2
bauhaus,rock,0.058589569810363985,6
the london souls,blues,0.058508401115735374,1
lester nowhere,jazz,0.05846098562081656,2
crispian st. peters,pop,0.05838688214619955,1
nrbq,country,0.05828403929869334,1
madilyn bailey,pop,0.05763881901899973,1
swans,pop,0.057500436902046204,1
k. s. chithra,pop,0.05729951957861582,1
cali p,reggae,0.057113329569498696,1
steve swallow,jazz,0.056933646400769554,1
neil sedaka,rock,0.05693275233109792,1
devo,rock,0.05678114998671744,6
josé feliciano,pop,0.056507599229613945,4
patti drew,blues,0.056439573566118874,1
arthur russell,pop,0.056274972856044776,2
gary p. nunn,country,0.05615456402301788,1
l7,rock,0.055614235500494644,2
lmfao,pop,0.05549237628777823,2
michael hurley,country,0.05525757620731989,2
north mississippi allstars,blues,0.05456579352418582,4
living in a box,pop,0.0541411687930425,1
wale,pop,0.05390982495413887,3
michael burks,blues,0.05387779821952185,2
fort minor,pop,0.05387103060881297,2
suburban lawns,pop,0.053657439847787224,2
pomplamoose,pop,0.053473646442095436,1
donna taggart,country,0.0532988558212916,1
basement jaxx,pop,0.05315816402435303,2
lincoln brewster,rock,0.052944141129652664,2
joe corfield,jazz,0.052085796991984054,2
dzihan & kamien,jazz,0.05165679752826691,1
louie ramirez,jazz,0.05157731225093205,2
ferlin husky,country,0.051557183265686035,1
woody guthrie,blues,0.05151550554566914,6
the blues band,blues,0.05131317675113678,1
los pericos,reggae,0.051129668951034546,1
romare,jazz,0.051127609279420644,3
the clean,pop,0.051113451520601906,1
tom browne,jazz,0.05070364475250244,1
eddie boyd,blues,0.05066287269194921,2
the spaniels,blues,0.05026345203320185,2
the breeders,pop,0.05022936562697093,2
beyond creation,jazz,0.05003917713960012,1
ritchie valens,rock,0.04980085790157318,1
mfsb,jazz,0.04974530885616938,2
lou donaldson,jazz,0.049681276082992554,2
the orlons,blues,0.04943769176801046,1
jerry vale,jazz,0.04904213547706604,2
the archies,pop,0.04902942478656769,2
